"","x","actual","pred","upper","lower"
"1",1452451260,209,211.279841660844,264.728969441317,168.581552475424
"2",1452500820,169,150.461635202993,169.503703597414,133.546208993389
"3",1452529680,62,63.5098444748007,72.9557308361278,55.2704199811659
"4",1452557700,95,77.0025532108955,86.1585257765466,68.8084123521951
"5",1452581820,126,137.798430702132,151.92527985407,124.976584013829
"6",1452601560,123,148.604909681862,163.835613871816,134.781512715591
"7",1452632100,434,465.857474686411,529.561258636328,409.802519261909
"8",1452669480,181,160.475961079933,192.461662134333,133.778569144013
"9",1452703920,162,146.878156617138,157.727504338787,136.770383876307
"10",1452714000,197,199.879526434984,213.271756744767,187.324325864421
"11",1452726360,113,107.260261931341,128.054780838269,89.8163512991464
"12",1452780120,208,200.617833972584,234.764309105712,171.416898596683
"13",1452794640,330,350.456427319241,396.956323321369,309.389892220044
"14",1452801420,459,455.795141449995,488.842681460704,424.977174202326
"15",1452834600,335,336.223548804113,366.060691785516,308.811767952776
"16",1452834660,334,314.416453402876,342.373899683075,288.735297787842
"17",1452873540,279,282.410445743504,332.44125372951,239.886452585405
"18",1452886500,403,403.338829149841,445.817998174727,364.898172021109
"19",1452904020,393,379.828340973443,447.909584832162,322.072240355057
"20",1452954900,135,136.598221268258,158.309296947269,117.845986135105
"21",1452965880,59,53.8093934818677,63.884443462734,45.2987652128907
"22",1452972480,189,189.140089774215,215.399233043652,166.067383885106
"23",1453007100,129,137.187422519724,160.192554169525,117.465544770522
"24",1453049280,357,368.738013415446,414.894762252809,327.703823592039
"25",1453074960,81,78.3252430633391,94.0871587584023,65.1760669813031
"26",1453130460,165,166.278484815006,191.844546439867,144.101803491911
"27",1453136700,125,118.952619627597,139.615701704136,101.325919375615
"28",1453164060,90,85.793492342381,99.488562428533,73.9648530233923
"29",1453184640,180,171.83271959223,204.524386670942,144.341141484451
"30",1453225200,109,112.44877449279,138.419854232956,91.3155780410616
"31",1453249440,119,124.535126894939,142.442602475445,108.863233185735
"32",1453298880,163,152.404239532501,173.522530343294,133.841390737658
"33",1453326780,122,111.356431119691,130.171067841413,95.2404882547451
"34",1453353540,284,272.138093947881,328.18729304514,225.632132957974
"35",1453385760,219,228.836670608661,254.548695384193,205.71166048043
"36",1453400400,220,217.192552579291,204.217081464023,230.98843712926
"37",1453412280,71,81.2831580676407,91.6544743642112,72.0727592816557
"38",1453430160,342,324.305152116923,386.877582211375,271.826909434909
"39",1453443240,262,271.82542002055,282.750848128926,261.32066018555
"40",1453471320,290,270.99910330335,317.16312789572,231.533268977903
"41",1453494360,377,368.342709793599,413.289949032129,328.271896642368
"42",1453497360,344,308.592701449639,345.244017650142,275.821073881292
